enrollment_id,student_name,age,gender,city,course_name,course_category,course_fee,payment_status,completion_status,discount_code,enrollment_month,enrollment_year,referral_source,device_type
ENR1016,Rohit Shah,40,MALE,Coimbatore ,Advanced Excel Dashboarding,Programming ,INR. 3499,Failed,Incomplete,REFER10,Nov,2024,Facebook Ad,
ENR1017,Komal Singh,,male,Indore,Java for Beginners,Programming,INR 4499,Pending,Incomplete,EARLYBIRD,Jun,2024,YouTube Ad,Desktop 
ENR1018,Lakshmi Sharma,22,male,Coimbatore ,Data Engineering with Python,data science,13499,Failed,Incomplete,REFER10,Nov,2024,Email Campaign,MOBILE
ENR1019,Tarun Goswami,42,male,bangalore,Java for Beginners,Programing,Rs. 4499,Pending,Incomplete,FESTIVE30,Jan,2023,Google Search,desktop
ENR1020,Meera Rajan,29,Male,Hydrabad,Business Intelligence Reporting,Business Analytics,6999,Pending,Incomplete,,Jul,2024,YouTube Ad,mobile
ENR1021,Vivek Krishnan,36,M,Coimbatore ,Social Media Marketing,DIGITAL MARKETING,INR. 3999,Paid,Completed,REFER10,Dec,2024,Google Search,desktop
ENR1022, Sarika Gowda,35,MALE,KOLKATA,Content Marketing Strategy,Digitall Marketing,₹3499,Paid,Incomplete,WELCOME10,May,2023,WhatsApp Group,Desktop
ENR1023, Lokesh Jadhav,23,M,Noida ,CI/CD Pipeline Mastery,DevOPS,Rs 11999,Failed,Incomplete,,Mar,2024,YouTube Ad,Desktop
ENR1024,Tanvi Bose,36,male,Nagpuur,Excel for Business,BUSINESS ANALYTICS,INR. 2999,Paid,Completed,WELCOME10,Dec,2023,Instagram Ad,mobile
ENR1025,Archana Jain,41,F,BANGALORE,Deep Learning Essentials,Artificial intelligence,Rs. 18499,Paid,Completed,,Apr,2024,Email Campaign,Tablet
ENR1026,VIJAY CHOPRA,19,female,Nagpuur,SEO & SEM Masterclass,DIGITAL MARKETING,Rs. 4999,Failed,Incomplete,,Oct,2023,Facebook Ad,Tablet
ENR1027,Revathi Agarwal,41,M,Visakhapatnam,Cyber Security Fundamentals,Cyber security,Rs. 9999,Failed,Incomplete,NEW20,Dec,2023,College Partnership,desktop
ENR1028,pallavi goswami,30,,Bhopal,DevOps Foundations,devops,INR. 10499,Failed,Incomplete,CORP50,May,2023,Google Search,desktop
ENR1029,,31,FEMALE,Ahemdabad,SEO & SEM Masterclass,digital marketing,4999,Paid,Incomplete,,Nov,2023,Google Search,desktop
ENR1264,Lokesh Solanki,38,F,Gurugram,Tableau for Analysts,Business Analytics,6499,Failed,Incomplete,ALUMNI20,May,2023,LinkedIn Post,MOBILE
ENR1031,Monika Iyer,35,female,SURAT,Advanced Excel Dashboarding,Programing,₹3499,Paid,Completed,,Dec,2023,LinkedIn Post,Desktop
ENR1032,Indira Swamy,32,FEMALE,Noida ,Network Security Essentials,Cybersecurity,₹8499,Paid,Completed,,Apr,2023,Google Search,mobile
ENR1033,Shobha Pandey,45,male,Bhuvaneshwar,Excel for Business,Business analytics,Rs.2999,Failed,Incomplete,EARLYBIRD,Sep,2024,Friend Referral,Desktop 
ENR1034,Ankit Tiwari,29,F,Nagpuur,Business Intelligence Reporting,Busniess Analytics,Rs 6999,Paid,Completed,FESTIVE30,Aug,2024,Walk-in,
ENR1035,Bhaskar Menon,31,F,Pune ,Multi-Cloud Architecture,CLOUD COMPUTING,Rs.17499,Paid,Incomplete,,Sep,2024,Facebook Ad,desktop
ENR1036,Vikram Deshpande,,Female,BHUBANESWAR,Social Media Marketing,digital marketing,Rs. 3999,Failed,Incomplete,CORP50,Nov,2023,Instagram Ad,Mobile
ENR1037,Monika Bhosale,27,male, Delhi,SQL Masterclass,Programming ,4999,Paid,Completed,,Aug,2024,Instagram Ad,Tablet
ENR1038,kavya krishnan,41,,Ranchi,UI/UX Design Essentials,Web Dev,Rs 8999,Failed,Incomplete,,Oct,2024,Walk-in,Desktop 
ENR1039,Indira Patel,29,female,LUCKNOW,Statistics for Data Science,Data Science,INR. 7999,Paid,Completed,,Nov,2024,College Partnership,
ENR1040,karan bajpai,20,,VADODARA,ML with Scikit-Learn,MACHINE LEARNING,Rs 9499,Failed,Incomplete,,Sep,2024,,
ENR1041,,22,Male,ranchi,Linux for DevOps,DEVOPS,Rs 6999,Failed,Incomplete,EARLYBIRD,May,2023,Email Campaign,Mobile
ENR1042,SHOBHA MANE,34,male,Coimbtor,Business Intelligence Reporting,business Anaytics,Rs 6999,Paid,Incomplete,EARLYBIRD,Oct,2024,Google Search,desktop
ENR1468,Dinesh Bose,36,MALE,vizag,Python Programming Basics,Programing,3999,Pending,Incomplete,SUMMER25,Dec,2024,Google Search,
ENR1233,Satish Kulkarni ,33,F, Gurgaon,Full Stack Web Development,WEB DEVELOPMENT,Rs. 14999,Paid,Incomplete,,Mar,2023,Google Search,Tablet
ENR1045, Rohit Kapoor,27,MALE,baroda,AI for Business Leaders,Artificial Intelligence,INR 11999,Paid,Incomplete,,May,2023,YouTube Ad,Tablet
ENR1046,Padma Trivedi,39,male,chennai,Google Cloud Essentials,Cloud Computing,Rs.10999,Paid,Completed,,Dec,2024,Instagram Ad,MOBILE
ENR1052,Karthik Patel,31,M,vizag,Machine Learning Bootcamp,Machine learning,Rs.16999,Pending,Incomplete,,Jul,2024,College Partnership,mobile
ENR1048,Rajeev Bhosale,42,M,pune,Business Intelligence Reporting,data Science,Rs 6999,Failed,Incomplete,,Mar,2024,Facebook Ad,Desktop 
ENR1049,,42,Female, Jaipur,AWS Cloud Practitioner,CLOUD COMPUTING,INR 12999,Paid,Completed,CORP50,Apr,2023,Friend Referral,Tablet
ENR1061,Ashok Parikh,45,MALE,PATNA,Data Engineering with Python,Data Science,INR. 13499,Paid,Incomplete,,Dec,2024,Google Search,
ENR1051,Pavan Deshpande,31,Male,Kochi,Power BI Analytics,business analytics,₹7499,Paid,Completed,FLASHSALE,Jun,2024,LinkedIn Post,Tablet
ENR1052,Karthik Patel,31,M,vizag,Machine Learning Bootcamp,Machine learning,Rs.16999,Pending,Incomplete,,Jul,2024,College Partnership,mobile
ENR1053, Manoj Menon,23,MALE,Vizag,Machine Learning Bootcamp,MACHINE LEARNING,INR 16999,Paid,Incomplete,STUDENT15,May,2024,YouTube Ad,Desktop
ENR1054,ASHA DUBEY,,Male,Vishakhapatnam,Statistics for Data Science,data science,INR. 7999,Failed,Incomplete,,Aug,2024,Email Campaign,Tablet
ENR1055,Vikram Murthy,20,Male,Nagpur,Time Series Forecasting,Machine learning,Rs 10999,Pending,Incomplete,,Dec,2023,Instagram Ad,
ENR1056,Bhaskar Naik,28,M,vadodara,Azure Fundamentals,Cloud Computing,Rs 11499,Failed,Incomplete,,Dec,2024,Walk-in,
ENR1057,Kavitha Murthy,45,F,Ranchi,Multi-Cloud Architecture,Cloud Compuuting,Rs. 17499,Failed,Incomplete,,May,2023,YouTube Ad,Desktop
ENR1058,Neha Pandey,21,,ranchi,Social Media Marketing,Digital marketing,INR 3999,Paid,Completed,,Apr,2023,College Partnership,MOBILE
ENR1059,Pavan Murthy,39,F,JAIPUR,NLP with Python,artificial intelligence,Rs 15999,Paid,Incomplete,NEW20,Mar,2024,Instagram Ad,
ENR1060,archana pillai,37,FEMALE,BANGALORE,Cyber Security Fundamentals,Cybersecurity,Rs. 9999,Paid,Incomplete,STUDENT15,Jan,2024,YouTube Ad,desktop
ENR1061,Ashok Parikh,45,MALE,PATNA,Data Engineering with Python,Data Science,INR. 13499,Paid,Incomplete,,Dec,2024,Google Search,
ENR1062,HEMLATA NAIR,18,M,kolkatta,Python Programming Basics,Programing,INR 3999,Pending,Incomplete,,Jul,2024,Google Search,MOBILE
ENR1063,Manjula Bajpai,42,male, Lucknow,Network Security Essentials,CYBER SECURITY,₹8499,Pending,Incomplete,CORP50,May,2024,WhatsApp Group,desktop
ENR1064,Hemlata Thakur,43,MALE,Channai,Full Stack Web Development,WEB DEVELOPMENT,Rs 14999,Paid,Completed,SUMMER25,Dec,2024,Instagram Ad,Tablet
ENR1065,Rina Shinde,25,F,Kochi,Time Series Forecasting,Machine learning,Rs.10999,Paid,Incomplete,SUMMER25,May,2023,Instagram Ad,Desktop 
ENR1066,Ankit Menon,35,MALE, noida,Azure Fundamentals,cloud compuing,Rs.11499,Paid,Completed,,Jun,2023,Friend Referral,MOBILE
ENR1146,Satish Swamy,19,,JAIPUR,Full Stack Web Development,Web development,INR. 14999,Paid,Incomplete,REFER10,Nov,2023,Friend Referral,MOBILE
ENR1068,Meera More,29,Female,Ahemdabad,Business Intelligence Reporting,Data science,INR. 6999,Paid,Completed,EARLYBIRD,Sep,2024,Google Search,Desktop 
ENR1069,,29,male,Pune ,Business Intelligence Reporting,DataScience,6999,Paid,Completed,FESTIVE30,Oct,2024,Google Search,Desktop 
ENR1070,,28,MALE,DELHI,CI/CD Pipeline Mastery,DevOPS,INR 11999,Failed,Incomplete,,Jan,2024,Email Campaign,Desktop
ENR1071,Vijay Tiwari,20,male, Ahmedabad,Network Security Essentials,cyber security,INR 8499,Paid,Incomplete,REFER10,Nov,2023,YouTube Ad,Tablet
ENR1072,ankita gupta,40,Female,Ahemdabad,SEO & SEM Masterclass,DIGITAL MARKETING,Rs.4999,Paid,Incomplete,FESTIVE30,Jul,2024,,MOBILE
ENR1073,Gaurav Shah,27,Male,Coimbtor,Tableau for Analysts,Business analytics,INR 6499,Paid,Completed,EARLYBIRD,Jun,2023,YouTube Ad,Desktop 
ENR1114,Archana Gupta,31,M,SURAT,AI for Business Leaders,Artificial intelligence,11999,Paid,Completed,,Sep,2024,Email Campaign,Desktop 
ENR1075,Shweta More,22,MALE,Surt,NLP with Python,artificial intelligence,Rs 15999,Failed,Incomplete,,Sep,2023,Google Search,desktop
ENR1076,,40,MALE,Bhubneswar,Advanced Excel Dashboarding,Programming,INR 3499,Failed,Incomplete,,Jun,2023,Google Search,Mobile
ENR1077,Neha Kulkarni,25,M, Bhopal,Deep Learning Essentials,Artificial intelligence,18499,Failed,Incomplete,CORP50,Sep,2023,Walk-in,mobile
ENR1436,Siddharth Desai,25,M,baroda,ML with Scikit-Learn,machine learning,Rs. 9499,Paid,Incomplete,,Jul,2023,Email Campaign,desktop
ENR1079,Sandeep Natarajan,35,female,KOLKATA,Power BI Analytics,Business Analytics,₹7499,Failed,Incomplete,FESTIVE30,Nov,2023,Google Search,Desktop
ENR1080,Amit Iyer,34,Male,Indore,Google Cloud Essentials,CLOUD COMPUTING,10999,Failed,Incomplete,REFER10,Nov,2023,Email Campaign,mobile
ENR1081,Shruti Mane,44,Female,Vizag,NLP with Python,artificial Intelligence,15999,Paid,Incomplete,SUMMER25,Mar,2024,Google Search,Mobile
ENR1082,Sarika Srivastava,19,Male,Bhubneswar,React & Node.js Bootcamp,Web development,INR. 13999,Failed,Incomplete,STUDENT15,Dec,2024,Instagram Ad,MOBILE
ENR1083,Prasad Deshpande,36,M,visakhapatnam,Business Intelligence Reporting,DATA SCIENCE,INR 6999,Failed,Incomplete,FESTIVE30,Sep,2023,LinkedIn Post,MOBILE
ENR1084,Sunita Krishnan,30,MALE,NAGPUR,Business Intelligence Reporting,Business analytics,Rs.6999,Failed,Incomplete,FLASHSALE,May,2023,Friend Referral,Mobile
ENR1085,Vishal Bajpai,27,male, Hyderabad,Statistics for Data Science,data Science,7999,Failed,Incomplete,NEW20,Dec,2024,Friend Referral,mobile
ENR1086,Monika Bajpai,34,male,Delhi,Java for Beginners,Programing,INR 4499,Paid,Completed,,Jun,2024,Google Search,Desktop
ENR1087,Mythili Naik,35,MALE,Dilli,ML with Scikit-Learn,Machne Learning,Rs 9499,Failed,Incomplete,FLASHSALE,Mar,2023,Google Search,mobile
ENR1088,Vishal Naik,39,male,ranchi,Social Media Marketing,digital Markting,Rs 3999,Paid,Completed,WELCOME10,Sep,2023,Friend Referral,Mobile
ENR1328,Priya Srivastava,31,FEMALE, Indore,Deep Learning Essentials,ML,₹18499,Failed,Incomplete,ALUMNI20,Dec,2023,YouTube Ad,Desktop 
ENR1090,Lakshmi Gupta,31,F,Kolkatta,NLP with Python,Artifical Intelligence,Rs.15999,Paid,Incomplete,,Sep,2023,Email Campaign,
ENR1091,Mythili Bhosale,30,male,Vadodara,SEO & SEM Masterclass,digital Markting,INR. 4999,Paid,Completed,,Aug,2023,Google Search,mobile
ENR1092,Manoj Srivastava,32,Female,Bhopal,AWS Cloud Practitioner,cloud computing,Rs.12999,Failed,Incomplete,WELCOME10,Nov,2024,YouTube Ad,Mobile
ENR1093,Mythili Malhotra,27,female,baroda,Digital Marketing Pro,Digitall Marketing,INR 5999,Paid,Completed,FESTIVE30,Jun,2024,Google Search,Desktop 
ENR1094,Deepa Reddy,31,,Surat,React & Node.js Bootcamp,Web Dev,₹13999,Failed,Incomplete,FLASHSALE,Jul,2023,Friend Referral,Mobile
ENR1095,Rahul Mishra,19,FEMALE,Surat,Full Stack Web Development,web dev,14999,Paid,Completed,FLASHSALE,Nov,2024,Google Search,MOBILE
ENR1096,Manoj Rajan,34,FEMALE,Puna,AI for Business Leaders,AI,INR 11999,Failed,Incomplete,,Aug,2024,LinkedIn Post,Desktop
ENR1097,Girish Mehta,33,Male,Hydrabad,Network Security Essentials,CyberSecurity,INR 8499,Paid,Incomplete,FLASHSALE,Dec,2023,Email Campaign,Desktop 
ENR1098,Amit Thakur,36,Female,VIZAG,Full Stack Web Development,Web development,Rs 14999,Paid,Completed,EARLYBIRD,Apr,2024,YouTube Ad,Tablet
ENR1099,Gaurav Iyer,32,F,Chenni,Google Cloud Essentials,cloud compuing,₹10999,Paid,Incomplete,EARLYBIRD,Jun,2023,Facebook Ad,
ENR1100,Vijay Thakur,43,female,GURGAON,Python for Data Science,data Science,₹8999,Pending,Incomplete,FESTIVE30,Sep,2024,Instagram Ad,Mobile
ENR1101,Ashok Chauhan,18,MALE,Vishakhapatnam,SQL Masterclass,Programming ,₹4999,Paid,Incomplete,,Aug,2023,Facebook Ad,Mobile
ENR1317,Swati Nair,41,MALE,Luckhnow,Docker & Kubernetes,devops,INR. 12499,Paid,Incomplete,,Aug,2023,Friend Referral,Desktop 
ENR1284,karthik chopra,20,M,baroda,Linux for DevOps,DevOPS,Rs 6999,Paid,Completed,FESTIVE30,Aug,2024,College Partnership,Mobile
ENR1104,Sneha Singh,36,male,hyderabad,Java for Beginners,programing,INR 4499,Pending,Incomplete,STUDENT15,May,2024,Instagram Ad,
ENR1105,Divya Kumar,20,F,Patna,Social Media Marketing,digital Markting,Rs. 3999,Pending,Incomplete,EARLYBIRD,May,2024,Friend Referral,
ENR1106,Kavya Thakur,36,male,VADODARA,Business Intelligence Reporting,data Science,₹6999,Pending,Incomplete,NEW20,Sep,2024,Google Search,Mobile
ENR1107,Divya Gowda,30,female,mysore,Social Media Marketing,DIGITAL MARKETING,Rs 3999,Pending,Incomplete,WELCOME10,Jan,2024,YouTube Ad,
ENR1458,,21,M,Visakhapatnam,DevOps Foundations,devops,INR 10499,Paid,Completed,,Dec,2024,Walk-in,desktop
ENR1109,priya chauhan,20,F,Bhubaneswar,NLP with Python,Artificial Intelligence,15999,Paid,Incomplete,SUMMER25,Jun,2024,Walk-in,mobile
ENR1110, Preeti More,40,Male,hydrabad,Business Intelligence Reporting, Data Science,Rs. 6999,Paid,Incomplete,,Aug,2023,Google Search,Desktop 
ENR1111,Simran Mane,28,M, Coimbatore,Power BI Analytics,business Anaytics,7499,Failed,Incomplete,CORP50,Nov,2023,Friend Referral,MOBILE
ENR1112,Lakshmi Mishra,,,CHENNAI,Social Media Marketing,Digital Marketing,Rs.3999,Failed,Incomplete,,Dec,2023,Friend Referral,mobile
ENR1113,Sunita Gupta,43,MALE,pune,Python Programming Basics,PROGRAMMING,₹3999,Failed,Incomplete,,Oct,2024,College Partnership,mobile
ENR1114,Archana Gupta,31,M,SURAT,AI for Business Leaders,Artificial intelligence,11999,Paid,Completed,,Sep,2024,Email Campaign,Desktop 
ENR1115,Bhavna Desai,24,FEMALE,lucknow,Tableau for Analysts,Business Analytics,Rs. 6499,Failed,Incomplete,FESTIVE30,Jun,2023,Email Campaign,Desktop 
ENR1116,Sowmya Trivedi,33,male,BHOPAL,Data Engineering with Python, Data Science,INR. 13499,Paid,Incomplete,,Aug,2023,Facebook Ad,Tablet
ENR1117,,38,MALE, Coimbatore,AWS Cloud Practitioner,cloud compuing,Rs 12999,Failed,Incomplete,CORP50,Sep,2023,WhatsApp Group,desktop
ENR1118,Vinod Mehta,39,,Pune ,Java for Beginners,programing,INR 4499,Pending,Incomplete,CORP50,Jul,2023,WhatsApp Group,Desktop 
ENR1119,Swati Mane,20,F,patna,Statistics for Data Science,data Science,7999,Failed,Incomplete,,Apr,2024,Email Campaign,Desktop 
ENR1120,Ankita Pillai,45,,Lucknow,Python for Data Science,DataScience,8999,Failed,Incomplete,NEW20,Feb,2024,WhatsApp Group,MOBILE
ENR1121,Gaurav Chauhan,22,male,Vishakhapatnam,Google Cloud Essentials,CLOUD COMPUTING,INR 10999,Failed,Incomplete,EARLYBIRD,Mar,2024,WhatsApp Group,mobile
ENR1122,Sarika Chaudhary,42,MALE,bhubaneswar,Django for Beginners,Web Development,₹7999,Paid,Completed,STUDENT15,Jun,2023,Walk-in,Desktop
ENR1123,Satish Gowda,32,female,Mumabi,Ethical Hacking Bootcamp,Cyber security,Rs.13999,Paid,Incomplete,NEW20,May,2023,Instagram Ad,MOBILE
ENR1124,Tarun Murthy,33,FEMALE,baroda,SEO & SEM Masterclass,digital Markting,Rs. 4999,Failed,Incomplete,ALUMNI20,Jun,2024,YouTube Ad,MOBILE
ENR1125,Rohit Bajpai,37,male,ahmedabad,Advanced Excel Dashboarding,Programing,Rs. 3499,Failed,Incomplete,STUDENT15,Jan,2024,LinkedIn Post,Desktop
ENR1126,Manish Trivedi,18,MALE,AHMEDABAD,NLP with Python,Artificial intelligence,INR 15999,Paid,Incomplete,STUDENT15,Jan,2024,Google Search,Tablet
ENR1127,Rahul Jain,23,MALE,ahmedabad,Python for Data Science, Data Science,INR. 8999,Paid,Completed,CORP50,Sep,2023,LinkedIn Post,Desktop 
ENR1455,Mythili Bhatt,27,F,Heyderabad,Docker & Kubernetes,DEVOPS,12499,Paid,Incomplete,,Feb,2024,Facebook Ad,Mobile
ENR1129,Divya Jadhav,28,Female,Kolkata,SEO & SEM Masterclass,DIGITAL MARKETING,INR. 4999,Pending,Incomplete,,Jun,2024,Facebook Ad,Mobile
ENR1130,Amit Srivastava,32,MALE,Chandigarh,Machine Learning Bootcamp,Machne Learning,Rs.16999,Failed,Incomplete,,Feb,2024,YouTube Ad,Mobile
ENR1131,Deepa Mishra,30,Female,vizag,DevOps Foundations,DevOPS,INR 10499,Paid,Completed,ALUMNI20,Dec,2024,Google Search,Tablet
ENR1132,DIVYA PATEL,27,F,surat,Linux for DevOps,devops,₹6999,Failed,Incomplete,,Aug,2024,YouTube Ad,Tablet
ENR1133,Amit Kapoor,30,F,Bhopal,ML with Scikit-Learn,Machine Learning,INR 9499,Pending,Incomplete,,Dec,2023,Google Search,desktop
ENR1379,Radha Joshi,35,Male,SURAT,Java for Beginners,Programing,Rs 4499,Pending,Incomplete,,Jul,2024,YouTube Ad,desktop
ENR1135,,28,female,Indore,Data Engineering with Python,data science,INR. 13499,Pending,Incomplete,,Apr,2023,Friend Referral,
ENR1136,,37,Male, Kochi,SQL Masterclass,PROGRAMMING,Rs.4999,Failed,Incomplete,FESTIVE30,Sep,2023,Google Search,
ENR1137,Tanvi Mishra,42,,ranchi,Advanced Excel Dashboarding,PROGRAMMING,3499,Paid,Completed,FESTIVE30,Apr,2023,WhatsApp Group,desktop
ENR1138,Shalini Desai,36,MALE,Mumbai,CI/CD Pipeline Mastery,devops,₹11999,Failed,Incomplete,FLASHSALE,Nov,2024,Instagram Ad,Desktop 
ENR1326,Shobha Deshpande,44,female,Nagpur,AI for Business Leaders,Artificial Intelligence,INR. 11999,Paid,Completed,EARLYBIRD,May,2023,Google Search,desktop
ENR1140,Vijaya Bhat,,,Gurgoan,Ethical Hacking Bootcamp,cyber security,Rs 13999,Failed,Incomplete,WELCOME10,Feb,2024,Google Search,Desktop
ENR1381,Suresh Patel,39,FEMALE,Vishakhapatnam,Django for Beginners,WEB DEVELOPMENT,INR 7999,Failed,Incomplete,,Mar,2024,Google Search,Desktop
ENR1311,,19,male,Gurgoan,Deep Learning Essentials,artificial intelligence,Rs.18499,Paid,Completed,,Oct,2024,Instagram Ad,Tablet
ENR1143,Hemlata Kamath,23,female, Surat,CI/CD Pipeline Mastery,Devops,INR. 11999,Paid,Completed,WELCOME10,Sep,2024,LinkedIn Post,Desktop 
ENR1144,Sandeep Bhosale,44,FEMALE, Patna,Business Intelligence Reporting, Data Science,INR. 6999,Failed,Incomplete,,Nov,2023,Instagram Ad,MOBILE
ENR1145,Bhagyalaxmi Pillai,35,MALE, Ahmedabad,Django for Beginners,Web Development,INR 7999,Paid,Completed,,Nov,2023,YouTube Ad,Desktop
ENR1146,Satish Swamy,19,,JAIPUR,Full Stack Web Development,Web development,INR. 14999,Paid,Incomplete,REFER10,Nov,2023,Friend Referral,MOBILE
ENR1147,Kavitha Patil,42,male,ranchi,Google Cloud Essentials,Cloud Computing,10999,Failed,Incomplete,,Jan,2024,LinkedIn Post,Desktop
ENR1148,Sneha Jain,24,Female,coimbatore,Full Stack Web Development,WEB DEVELOPMENT,INR 14999,Paid,Completed,,Dec,2024,Instagram Ad,mobile
ENR1149,Swati Gupta,35,M,NAGPUR,Python for Data Science,Data science,INR 8999,Failed,Incomplete,,May,2024,College Partnership,Mobile
ENR1150,Sunil Reddy,29,male,hydrabad,AWS Cloud Practitioner,Cloud Compuuting,INR. 12999,Pending,Incomplete,FESTIVE30,May,2023,Email Campaign,Desktop 
ENR1151,,18,Male,Bhuvaneshwar,Python for Data Science,data science,Rs.8999,Paid,Completed,,Jul,2023,Friend Referral,Desktop 
ENR1152,Aarav Gupta,28,FEMALE,LUCKNOW,Power BI Analytics,BUSINESS ANALYTICS,Rs 7499,Paid,Completed,,Jul,2023,Facebook Ad,
ENR1153,Mahesh Bhatt,19,male, delhi,Django for Beginners,WEB DEVELOPMENT,Rs. 7999,Failed,Incomplete,FLASHSALE,Mar,2024,Friend Referral,MOBILE
ENR1154,Manish Venkatesh,,female,Surat,Cyber Security Fundamentals,CyberSecurity,INR. 9999,Paid,Completed,CORP50,Jan,2023,Friend Referral,Desktop
ENR1155,Ankita Desai,24,FEMALE, Lucknow,Django for Beginners,web dev,₹7999,Pending,Incomplete,,Jul,2023,Facebook Ad,Tablet
ENR1178,Harish Reddy,29,male, Hyderabad,Network Security Essentials,cyber security,Rs 8499,Pending,Incomplete,,Jan,2024,Google Search,Desktop 
ENR1157,Lokesh Bose,44,male,Surt,Django for Beginners,web development,INR 7999,Paid,Completed,STUDENT15,Oct,2023,Friend Referral,desktop
ENR1158,Krishna Dubey,31,FEMALE,Jaipur,Java for Beginners,programing,Rs.4499,Paid,Completed,,Mar,2024,Google Search,Mobile
ENR1159,Ananya Rao,24,Female,VIZAG,Cyber Security Fundamentals,Cyber security,INR. 9999,Paid,Completed,REFER10,Aug,2024,YouTube Ad,Mobile
ENR1171,Varun Patel,44,M,CHANDIGARH,Data Engineering with Python,DataScience,₹13499,Paid,Incomplete,STUDENT15,Oct,2023,Google Search,Mobile
ENR1161,Ankit Venkatesh,36,FEMALE,Cochin,DevOps Foundations,devops,INR 10499,Paid,Incomplete,STUDENT15,Nov,2023,Google Search,
ENR1162,Sameer Yadav,44,female,Noida,Python for Data Science,data Science,8999,Paid,Completed,REFER10,Oct,2024,Walk-in,MOBILE
ENR1163,Ashok Bhosale,36,,bangaluru,NLP with Python,AI,15999,Failed,Incomplete,,May,2023,Instagram Ad,
ENR1164,Bhagyalaxmi Trivedi,,,Patna,Power BI Analytics,Busniess Analytics,INR. 7499,Pending,Incomplete,,Mar,2023,YouTube Ad,desktop
ENR1165,Ashok Bose,40,M,Vishakhapatnam,SEO & SEM Masterclass,Digital marketing,INR 4999,Pending,Incomplete,CORP50,Oct,2024,Friend Referral,mobile
ENR1537,Prakash Patel,28,M, Surat,Google Cloud Essentials,CLOUD COMPUTING,₹10999,Failed,Incomplete,SUMMER25,Feb,2024,LinkedIn Post,Desktop
ENR1167,SOWMYA BAJPAI,33,,RANCHI,Ethical Hacking Bootcamp,Cyber security,₹13999,Pending,Incomplete,NEW20,May,2024,Friend Referral,Tablet
ENR1168,Lokesh Mehta,43,F, Lucknow,Java for Beginners,programming,INR. 4499,Paid,Completed,,Feb,2024,Friend Referral,desktop
ENR1169,Prakash Patel,41,F,Hydrabad,React & Node.js Bootcamp,Web development,₹13999,Failed,Incomplete,WELCOME10,Apr,2024,Facebook Ad,desktop
ENR1170,Priyanka Goswami,41,,PATNA,Statistics for Data Science,Data Science,INR 7999,Failed,Incomplete,WELCOME10,Aug,2023,LinkedIn Post,
ENR1171,Varun Patel,44,M,CHANDIGARH,Data Engineering with Python,DataScience,₹13499,Paid,Incomplete,STUDENT15,Oct,2023,Google Search,Mobile
ENR1172,Karan Desai,20,male,bhopal,Content Marketing Strategy,digital marketing,Rs 3499,Failed,Incomplete,NEW20,Dec,2024,YouTube Ad,
